sigma,b,p,hazard0,rmse
0.4299999999999998,0.1,8,0.075,0.034986982235387924
0.4299999999999998,0.06,11,0.075,0.034986982235387924
0.4299999999999998,0.06,12,0.075,0.034986982235387924
0.4299999999999998,0.06,13,0.075,0.034986982235387924
0.4299999999999998,0.06,14,0.075,0.034986982235387924
0.4299999999999998,0.06,15,0.075,0.034986982235387924
0.4299999999999998,0.07,0,0.075,0.034986982235387924
0.4299999999999998,0.07,1,0.075,0.034986982235387924
0.4299999999999998,0.06,10,0.075,0.034986982235387924
0.4299999999999998,0.07,2,0.075,0.034986982235387924
0.4299999999999998,0.07,4,0.075,0.034986982235387924
0.4299999999999998,0.07,5,0.075,0.034986982235387924
0.4299999999999998,0.07,6,0.075,0.034986982235387924
0.4299999999999998,0.07,7,0.075,0.034986982235387924
0.4299999999999998,0.07,8,0.075,0.034986982235387924
0.4299999999999998,0.07,9,0.075,0.034986982235387924
0.4299999999999998,0.07,10,0.075,0.034986982235387924
0.4299999999999998,0.07,3,0.075,0.034986982235387924
0.4299999999999998,0.06,9,0.075,0.034986982235387924
0.4299999999999998,0.06,8,0.075,0.034986982235387924
0.4299999999999998,0.06,7,0.075,0.034986982235387924
0.4299999999999998,0.05,6,0.075,0.034986982235387924
0.4299999999999998,0.05,7,0.075,0.034986982235387924
0.4299999999999998,0.05,8,0.075,0.034986982235387924
0.4299999999999998,0.05,9,0.075,0.034986982235387924
0.4299999999999998,0.05,10,0.075,0.034986982235387924
0.4299999999999998,0.05,11,0.075,0.034986982235387924
0.4299999999999998,0.05,12,0.075,0.034986982235387924
0.4299999999999998,0.05,13,0.075,0.034986982235387924
0.4299999999999998,0.05,14,0.075,0.034986982235387924
0.4299999999999998,0.05,15,0.075,0.034986982235387924
0.4299999999999998,0.06,0,0.075,0.034986982235387924
0.4299999999999998,0.06,1,0.075,0.034986982235387924
0.4299999999999998,0.06,2,0.075,0.034986982235387924
0.4299999999999998,0.06,3,0.075,0.034986982235387924
0.4299999999999998,0.06,4,0.075,0.034986982235387924
0.4299999999999998,0.06,5,0.075,0.034986982235387924
0.4299999999999998,0.06,6,0.075,0.034986982235387924
0.4299999999999998,0.07,11,0.075,0.034986982235387924
0.4299999999999998,0.07,12,0.075,0.034986982235387924
0.4299999999999998,0.07,13,0.075,0.034986982235387924
0.4299999999999998,0.07,14,0.075,0.034986982235387924
0.4299999999999998,0.09,4,0.075,0.034986982235387924
0.4299999999999998,0.09,5,0.075,0.034986982235387924
0.4299999999999998,0.09,6,0.075,0.034986982235387924
0.4299999999999998,0.09,7,0.075,0.034986982235387924
0.4299999999999998,0.09,8,0.075,0.034986982235387924
0.4299999999999998,0.09,9,0.075,0.034986982235387924
0.4299999999999998,0.09,10,0.075,0.034986982235387924
0.4299999999999998,0.09,11,0.075,0.034986982235387924
0.4299999999999998,0.09,12,0.075,0.034986982235387924
0.4299999999999998,0.09,13,0.075,0.034986982235387924
0.4299999999999998,0.09,14,0.075,0.034986982235387924
0.4299999999999998,0.09,15,0.075,0.034986982235387924
