sigma,b,p,lambda0,rmse_price,rmse_iv
0.2,0.01,0,0.075,67.32886981320505,
0.2,0.01,1,0.075,67.32886981320505,
0.2,0.01,2,0.075,67.32886981320505,
0.2,0.01,3,0.075,67.32886981320505,
0.2,0.01,4,0.075,67.32886981320505,
0.2,0.01,5,0.075,67.32886981320505,
0.2,0.01,6,0.075,67.32886981320505,
0.2,0.01,7,0.075,67.32886981320505,
0.2,0.01,8,0.075,67.32886981320505,
0.2,0.02,0,0.075,67.32886981320505,
0.2,0.02,1,0.075,67.32886981320505,
0.2,0.02,2,0.075,67.32886981320505,
0.2,0.02,3,0.075,67.32886981320505,
0.2,0.02,4,0.075,67.32886981320505,
0.2,0.02,5,0.075,67.32886981320505,
0.2,0.02,6,0.075,67.32886981320505,
0.2,0.02,7,0.075,67.32886981320505,
0.2,0.02,8,0.075,67.32886981320505,
0.2,0.03,0,0.075,67.32886981320505,
0.2,0.03,1,0.075,67.32886981320505,
0.2,0.03,2,0.075,67.32886981320505,
0.2,0.03,3,0.075,67.32886981320505,
0.2,0.03,4,0.075,67.32886981320505,
0.2,0.03,5,0.075,67.32886981320505,
0.2,0.03,6,0.075,67.32886981320505,
0.2,0.03,7,0.075,67.32886981320505,
0.2,0.03,8,0.075,67.32886981320505,
0.2,0.04,0,0.075,67.32886981320505,
0.2,0.04,1,0.075,67.32886981320505,
0.2,0.04,2,0.075,67.32886981320505,
0.2,0.04,3,0.075,67.32886981320505,
0.2,0.04,4,0.075,67.32886981320505,
0.2,0.04,5,0.075,67.32886981320505,
0.2,0.04,6,0.075,67.32886981320505,
0.2,0.04,7,0.075,67.32886981320505,
0.2,0.04,8,0.075,67.32886981320505,
0.2,0.05,0,0.075,67.32886981320505,
0.2,0.05,1,0.075,67.32886981320505,
0.2,0.05,2,0.075,67.32886981320505,
0.2,0.05,3,0.075,67.32886981320505,
0.2,0.05,4,0.075,67.32886981320505,
0.2,0.05,5,0.075,67.32886981320505,
0.2,0.05,6,0.075,67.32886981320505,
0.2,0.05,7,0.075,67.32886981320505,
0.2,0.05,8,0.075,67.32886981320505,
0.2,0.060000000000000005,0,0.075,67.32886981320505,
0.2,0.060000000000000005,1,0.075,67.32886981320505,
0.2,0.060000000000000005,2,0.075,67.32886981320505,
0.2,0.060000000000000005,3,0.075,67.32886981320505,
0.2,0.060000000000000005,4,0.075,67.32886981320505,
0.2,0.060000000000000005,5,0.075,67.32886981320505,
0.2,0.060000000000000005,6,0.075,67.32886981320505,
0.2,0.060000000000000005,7,0.075,67.32886981320505,
0.2,0.060000000000000005,8,0.075,67.32886981320505,
0.2,0.06999999999999999,0,0.075,67.32886981320505,
0.2,0.06999999999999999,1,0.075,67.32886981320505,
0.2,0.06999999999999999,2,0.075,67.32886981320505,
0.2,0.06999999999999999,3,0.075,67.32886981320505,
0.2,0.06999999999999999,4,0.075,67.32886981320505,
0.2,0.06999999999999999,5,0.075,67.32886981320505,
0.2,0.06999999999999999,6,0.075,67.32886981320505,
0.2,0.06999999999999999,7,0.075,67.32886981320505,
0.2,0.06999999999999999,8,0.075,67.32886981320505,
0.2,0.08,0,0.075,67.32886981320505,
0.2,0.08,1,0.075,67.32886981320505,
0.2,0.08,2,0.075,67.32886981320505,
0.2,0.08,3,0.075,67.32886981320505,
0.2,0.08,4,0.075,67.32886981320505,
0.2,0.08,5,0.075,67.32886981320505,
0.2,0.08,6,0.075,67.32886981320505,
0.2,0.08,7,0.075,67.32886981320505,
0.2,0.08,8,0.075,67.32886981320505,
0.2,0.09,0,0.075,67.32886981320505,
0.2,0.09,1,0.075,67.32886981320505,
0.2,0.09,2,0.075,67.32886981320505,
0.2,0.09,3,0.075,67.32886981320505,
0.2,0.09,4,0.075,67.32886981320505,
0.2,0.09,5,0.075,67.32886981320505,
0.2,0.09,6,0.075,67.32886981320505,
0.2,0.09,7,0.075,67.32886981320505,
0.2,0.09,8,0.075,67.32886981320505,
0.2,0.09999999999999999,0,0.075,67.32886981320505,
0.2,0.09999999999999999,1,0.075,67.32886981320505,
0.2,0.09999999999999999,2,0.075,67.32886981320505,
0.2,0.09999999999999999,3,0.075,67.32886981320505,
0.2,0.09999999999999999,4,0.075,67.32886981320505,
0.2,0.09999999999999999,5,0.075,67.32886981320505,
0.2,0.09999999999999999,6,0.075,67.32886981320505,
0.2,0.09999999999999999,7,0.075,67.32886981320505,
0.2,0.09999999999999999,8,0.075,67.32886981320505,
0.25,0.01,0,0.075,69.07192527086957,
0.25,0.01,1,0.075,69.07192527086957,
0.25,0.01,2,0.075,69.07192527086957,
0.25,0.01,3,0.075,69.07192527086957,
0.25,0.01,4,0.075,69.07192527086957,
0.25,0.01,5,0.075,69.07192527086957,
0.25,0.01,6,0.075,69.07192527086957,
0.25,0.01,7,0.075,69.07192527086957,
0.25,0.01,8,0.075,69.07192527086957,
0.25,0.02,0,0.075,69.07192527086957,
0.25,0.02,1,0.075,69.07192527086957,
0.25,0.02,2,0.075,69.07192527086957,
0.25,0.02,3,0.075,69.07192527086957,
0.25,0.02,4,0.075,69.07192527086957,
0.25,0.02,5,0.075,69.07192527086957,
0.25,0.02,6,0.075,69.07192527086957,
0.25,0.02,7,0.075,69.07192527086957,
0.25,0.02,8,0.075,69.07192527086957,
0.25,0.03,0,0.075,69.07192527086957,
0.25,0.03,1,0.075,69.07192527086957,
0.25,0.03,2,0.075,69.07192527086957,
0.25,0.03,3,0.075,69.07192527086957,
0.25,0.03,4,0.075,69.07192527086957,
0.25,0.03,5,0.075,69.07192527086957,
0.25,0.03,6,0.075,69.07192527086957,
0.25,0.03,7,0.075,69.07192527086957,
0.25,0.03,8,0.075,69.07192527086957,
0.25,0.04,0,0.075,69.07192527086957,
0.25,0.04,1,0.075,69.07192527086957,
0.25,0.04,2,0.075,69.07192527086957,
0.25,0.04,3,0.075,69.07192527086957,
0.25,0.04,4,0.075,69.07192527086957,
0.25,0.04,5,0.075,69.07192527086957,
0.25,0.04,6,0.075,69.07192527086957,
0.25,0.04,7,0.075,69.07192527086957,
0.25,0.04,8,0.075,69.07192527086957,
0.25,0.05,0,0.075,69.07192527086957,
0.25,0.05,1,0.075,69.07192527086957,
0.25,0.05,2,0.075,69.07192527086957,
0.25,0.05,3,0.075,69.07192527086957,
0.25,0.05,4,0.075,69.07192527086957,
0.25,0.05,5,0.075,69.07192527086957,
0.25,0.05,6,0.075,69.07192527086957,
0.25,0.05,7,0.075,69.07192527086957,
0.25,0.05,8,0.075,69.07192527086957,
0.25,0.060000000000000005,0,0.075,69.07192527086957,
0.25,0.060000000000000005,1,0.075,69.07192527086957,
0.25,0.060000000000000005,2,0.075,69.07192527086957,
0.25,0.060000000000000005,3,0.075,69.07192527086957,
0.25,0.060000000000000005,4,0.075,69.07192527086957,
0.25,0.060000000000000005,5,0.075,69.07192527086957,
0.25,0.060000000000000005,6,0.075,69.07192527086957,
0.25,0.060000000000000005,7,0.075,69.07192527086957,
0.25,0.060000000000000005,8,0.075,69.07192527086957,
0.25,0.06999999999999999,0,0.075,69.07192527086957,
0.25,0.06999999999999999,1,0.075,69.07192527086957,
0.25,0.06999999999999999,2,0.075,69.07192527086957,
0.25,0.06999999999999999,3,0.075,69.07192527086957,
0.25,0.06999999999999999,4,0.075,69.07192527086957,
0.25,0.06999999999999999,5,0.075,69.07192527086957,
0.25,0.06999999999999999,6,0.075,69.07192527086957,
0.25,0.06999999999999999,7,0.075,69.07192527086957,
0.25,0.06999999999999999,8,0.075,69.07192527086957,
0.25,0.08,0,0.075,69.07192527086957,
0.25,0.08,1,0.075,69.07192527086957,
0.25,0.08,2,0.075,69.07192527086957,
0.25,0.08,3,0.075,69.07192527086957,
0.25,0.08,4,0.075,69.07192527086957,
0.25,0.08,5,0.075,69.07192527086957,
0.25,0.08,6,0.075,69.07192527086957,
0.25,0.08,7,0.075,69.07192527086957,
0.25,0.08,8,0.075,69.07192527086957,
0.25,0.09,0,0.075,69.07192527086957,
0.25,0.09,1,0.075,69.07192527086957,
0.25,0.09,2,0.075,69.07192527086957,
0.25,0.09,3,0.075,69.07192527086957,
0.25,0.09,4,0.075,69.07192527086957,
0.25,0.09,5,0.075,69.07192527086957,
0.25,0.09,6,0.075,69.07192527086957,
0.25,0.09,7,0.075,69.07192527086957,
0.25,0.09,8,0.075,69.07192527086957,
0.25,0.09999999999999999,0,0.075,69.07192527086957,
0.25,0.09999999999999999,1,0.075,69.07192527086957,
0.25,0.09999999999999999,2,0.075,69.07192527086957,
0.25,0.09999999999999999,3,0.075,69.07192527086957,
0.25,0.09999999999999999,4,0.075,69.07192527086957,
0.25,0.09999999999999999,5,0.075,69.07192527086957,
0.25,0.09999999999999999,6,0.075,69.07192527086957,
0.25,0.09999999999999999,7,0.075,69.07192527086957,
0.25,0.09999999999999999,8,0.075,69.07192527086957,
0.3,0.01,0,0.075,71.52981464206214,
0.3,0.01,1,0.075,71.52981464206214,
0.3,0.01,2,0.075,71.52981464206214,
0.3,0.01,3,0.075,71.52981464206214,
0.3,0.01,4,0.075,71.52981464206214,
0.3,0.01,5,0.075,71.52981464206214,
0.3,0.01,6,0.075,71.52981464206214,
0.3,0.01,7,0.075,71.52981464206214,
0.3,0.01,8,0.075,71.52981464206214,
0.3,0.02,0,0.075,71.52981464206214,
0.3,0.02,1,0.075,71.52981464206214,
0.3,0.02,2,0.075,71.52981464206214,
0.3,0.02,3,0.075,71.52981464206214,
0.3,0.02,4,0.075,71.52981464206214,
0.3,0.02,5,0.075,71.52981464206214,
0.3,0.02,6,0.075,71.52981464206214,
0.3,0.02,7,0.075,71.52981464206214,
0.3,0.02,8,0.075,71.52981464206214,
0.3,0.03,0,0.075,71.52981464206214,
0.3,0.03,1,0.075,71.52981464206214,
0.3,0.03,2,0.075,71.52981464206214,
0.3,0.03,3,0.075,71.52981464206214,
0.3,0.03,4,0.075,71.52981464206214,
0.3,0.03,5,0.075,71.52981464206214,
0.3,0.03,6,0.075,71.52981464206214,
0.3,0.03,7,0.075,71.52981464206214,
0.3,0.03,8,0.075,71.52981464206214,
0.3,0.04,0,0.075,71.52981464206214,
