,ticker,date,window_time,best_bid,best_bidsizeshares,best_ask,best_asksizeshares,time_of_last_quote,mid_equity_price
0,F,2025-07-11,2025-07-11 10:00:00-04:00,11.8,15800,11.81,11400,2025-07-11 09:59:59.467910021-04:00,11.805
1,F,2025-07-11,2025-07-11 11:00:00-04:00,11.76,22300,11.77,23200,2025-07-11 10:59:52.055819985-04:00,11.765
2,F,2025-07-11,2025-07-11 12:00:00-04:00,11.73,28300,11.74,25300,2025-07-11 11:59:59.985827461-04:00,11.735
3,F,2025-07-11,2025-07-11 13:00:00-04:00,11.77,64200,11.78,30000,2025-07-11 12:59:59.669392109-04:00,11.774999999999999
4,F,2025-07-11,2025-07-11 14:00:00-04:00,11.8,24600,11.81,24800,2025-07-11 13:59:59.989697437-04:00,11.805
5,F,2025-07-11,2025-07-11 15:00:00-04:00,11.85,22300,11.86,36200,2025-07-11 14:59:56.584464016-04:00,11.855
6,F,2025-07-11,2025-07-11 16:00:00-04:00,11.76,282100,11.77,12800,2025-07-11 15:59:59.997378527-04:00,11.765
0,F,2025-07-14,2025-07-14 10:00:00-04:00,11.73,4000,11.74,23200,2025-07-14 09:59:59.849060817-04:00,11.735
1,F,2025-07-14,2025-07-14 11:00:00-04:00,11.7,27300,11.71,23900,2025-07-14 10:59:59.060821486-04:00,11.705
2,F,2025-07-14,2025-07-14 12:00:00-04:00,11.71,37600,11.72,25100,2025-07-14 11:59:59.505343683-04:00,11.715
3,F,2025-07-14,2025-07-14 13:00:00-04:00,11.74,23500,11.75,52700,2025-07-14 12:59:58.709786233-04:00,11.745000000000001
4,F,2025-07-14,2025-07-14 14:00:00-04:00,11.81,26000,11.82,26200,2025-07-14 13:59:54.993831721-04:00,11.815000000000001
5,F,2025-07-14,2025-07-14 15:00:00-04:00,11.86,33000,11.87,14500,2025-07-14 14:59:59.546009947-04:00,11.864999999999998
6,F,2025-07-14,2025-07-14 16:00:00-04:00,11.88,191400,11.89,197000,2025-07-14 15:59:59.999182485-04:00,11.885000000000002
0,F,2025-07-15,2025-07-15 10:00:00-04:00,11.75,11500,11.76,11600,2025-07-15 09:59:59.520330983-04:00,11.754999999999999
1,F,2025-07-15,2025-07-15 11:00:00-04:00,11.71,13100,11.72,17700,2025-07-15 10:59:59.467777044-04:00,11.715
2,F,2025-07-15,2025-07-15 12:00:00-04:00,11.71,19600,11.72,19100,2025-07-15 11:59:59.994715256-04:00,11.715
3,F,2025-07-15,2025-07-15 13:00:00-04:00,11.61,10800,11.62,41300,2025-07-15 12:59:57.572533899-04:00,11.614999999999998
4,F,2025-07-15,2025-07-15 14:00:00-04:00,11.58,12900,11.59,26700,2025-07-15 13:59:49.848197811-04:00,11.585
5,F,2025-07-15,2025-07-15 15:00:00-04:00,11.56,33100,11.57,54200,2025-07-15 14:59:59.837331890-04:00,11.565000000000001
6,F,2025-07-15,2025-07-15 16:00:00-04:00,11.57,348400,11.58,201200,2025-07-15 15:59:59.997362058-04:00,11.575
0,F,2025-07-16,2025-07-16 10:00:00-04:00,11.32,5200,11.33,13800,2025-07-16 09:59:57.288850808-04:00,11.325
1,F,2025-07-16,2025-07-16 11:00:00-04:00,11.24,26000,11.25,10000,2025-07-16 10:59:59.681593916-04:00,11.245000000000001
2,F,2025-07-16,2025-07-16 12:00:00-04:00,11.23,16700,11.24,23200,2025-07-16 11:59:56.906659366-04:00,11.235
3,F,2025-07-16,2025-07-16 13:00:00-04:00,11.19,30400,11.2,14200,2025-07-16 12:59:59.886887469-04:00,11.195
4,F,2025-07-16,2025-07-16 14:00:00-04:00,11.23,21200,11.24,16800,2025-07-16 13:59:56.878216906-04:00,11.235
5,F,2025-07-16,2025-07-16 15:00:00-04:00,11.28,51400,11.29,38100,2025-07-16 14:59:57.989014627-04:00,11.285
6,F,2025-07-16,2025-07-16 16:00:00-04:00,11.23,82500,11.24,95100,2025-07-16 15:59:59.997105576-04:00,11.235
0,F,2025-07-17,2025-07-17 10:00:00-04:00,11.23,12800,11.24,2800,2025-07-17 09:59:59.188111064-04:00,11.235
1,F,2025-07-17,2025-07-17 11:00:00-04:00,11.16,19700,11.17,26600,2025-07-17 10:59:59.367408687-04:00,11.165
