Strike,T,Call Bid,Call Ask,Call IVM,Call Volm,CofC,Put Bid,Put Ask,Put IVM,Put Volm
13,0.1806,7.150000095,7.25,57.20411682,0,0.096835852,0.02,0.050000001,53.86503601,61
13.5,0.1806,6.699999809,6.75,49.29029083,0,0.100560308,0.039999999,0.07,53.7611351,0
14,0.1806,6.199999809,6.349999905,56.9602623,6,0.104284763,0.079999998,0.109999999,55.26827621,1304
14.5,0.1806,5.800000191,5.900000095,56.82049942,5,0.108009219,0.140000001,0.180000007,57.48293304,33
15,0.1806,5.349999905,5.5,59.83423615,105,0.111733675,0.230000019,0.269999981,59.9552269,367
15.5,0.1806,5,5.099999905,62.74402237,10,0.115458131,0.350000024,0.389999986,62.34427261,35
16,0.1806,4.650000095,4.75,64.42023468,265,0.119182587,0.509999991,0.550000012,65.21897125,13824
16.5,0.1806,4.349999905,4.449999809,67.50934601,44,0.122907043,0.709999979,0.75,68.09057617,4
17,0.1806,4.099999905,4.199999809,71.26047516,275,0.126631498,0.930000007,0.980000019,71.31629181,2469
17.5,0.1806,3.849999905,3.950000048,73.04407501,20,0.130355954,1.190000534,1.239999771,74.41704559,13
18,0.1806,3.649999619,3.75,76.4956665,122,0.13408041,1.470000029,1.529999971,77.41516113,21245
18.5,0.1806,3.450000048,3.549999952,79.74613953,11,0.137804866,1.769999981,1.830000043,79.99846649,1150
19,0.1806,3.25,3.349999905,81.61309052,103,0.141529322,2.079999924,2.13999939,82.4261322,41
19.5,0.1806,3.099999905,3.200000048,83.89427948,44,0.145253778,2.410000086,2.470000029,84.65671539,162
20,0.1806,2.970000029,3.049999952,87.23303223,11239,0.148978233,2.75999999,2.809999943,86.55728912,23825
20.5,0.1806,2.839999914,2.900000095,88.51991272,4050,0.152702689,3.099999905,3.200000048,89.34214783,4172
21,0.1806,2.710000038,2.769999981,90.72648621,133,0.156427145,3.450000048,3.549999952,91.02256775,740
21.5,0.1806,2.599999905,2.660000086,92.83320618,14,0.160151601,3.849999905,3.950000048,92.97634125,20
22,0.1806,2.489999771,2.550000191,94.90498352,359,0.163876057,4.25,4.349999905,96.01290894,14
22.5,0.1806,2.390000105,2.460000038,97.38557434,9,0.167600513,4.650000095,4.75,98.03539276,0
23,0.1806,2.299999952,2.359999895,98.60734558,6029,0.171324968,5.050000191,5.150000095,99.78063202,16
23.5,0.1806,2.219999313,2.270000458,100.4413452,9,0.175049424,5.449999809,5.550000191,101.2787094,0
24,0.1806,2.140000105,2.180000067,102.5488434,70874,0.17877388,5.849999905,5.949999809,102.5355148,53
24.5,0.1806,2.059999943,2.119999886,104.0068665,0,0.182498336,6.300000191,6.400000095,105.0933075,0
25,0.1806,1.99000001,2.049999952,105.5187149,2503,0.186222792,6.699999809,6.800000191,105.2093048,61
11,0.2778,9.75,10.10000038,42.92667389,7,0.125738144,,0.029999999,59.16508484,0
11.5,0.2778,9.399999619,9.550000191,51.22152328,0,0.131453514,,0.029999999,55.57260895,0
12,0.2778,8.899999619,9.050000191,45.65050507,0,0.137168884,0.01,0.039999999,50.63811874,26
12.5,0.2778,8.399999619,8.550000191,39.58859253,7,0.142884254,0.029999999,0.050000001,50.81274414,0
13,0.2778,7.949999809,8.100000381,53.68206024,1,0.148599625,0.029999999,0.069999993,49.31280136,5
13.5,0.2778,7.449999809,7.599999905,45.2187233,0,0.154314995,0.059999999,0.090000033,49.48823929,0
14,0.2778,7,7.150000095,47.76563644,8,0.160030365,0.090000004,0.129999995,49.74377823,0
14.5,0.2778,6.599999905,6.75,54.12156677,21,0.165745735,0.149999976,0.189999998,51.14268112,50
15,0.2778,6.199999809,6.300000191,52.79111099,85,0.171461105,0.23999995,0.280000031,53.10412598,57
16,0.2778,5.449999809,5.599999905,57.36114883,25,0.182891846,0.509999991,0.540000021,57.32094574,4256
17,0.2778,4.849999905,4.949999809,60.56988907,268,0.194322586,0.899999976,0.939999998,62.01601028,234
18,0.2778,4.399999619,4.5,66.65898132,84,0.205753326,1.389999986,1.450000048,66.58578491,611
19,0.2778,3.949999809,4.100000381,70.43367004,26,0.217184067,1.970000029,2.029999971,70.76780701,155
20,0.2778,3.600000381,3.75,74.18370056,559,0.228614807,2.589999199,2.670000076,74.27353668,499
21,0.2778,3.300000191,3.449999809,77.61127472,283,0.240045547,3.25,3.399999619,77.83200073,1742
22,0.2778,3.049999237,3.149999619,80.40153503,187,0.251476288,4,4.100000381,80.86534882,145
23,0.2778,2.849999428,2.920000076,83.57531738,22711,0.262907028,4.75,4.849999428,83.4757843,38
24,0.2778,2.649999619,2.719999313,86.25886536,596,0.274337769,5.550000191,5.649999619,86.40486145,12
25,0.2778,2.469999313,2.539999962,88.68360901,143,0.285768509,6.349999428,6.449999809,88.61367798,1
26,0.2778,2.319999695,2.380000114,91.08480072,117,0.297199249,7.199999809,7.300000191,91.38127136,38
27,0.2778,2.179999352,2.25,93.42997742,2,0.30862999,8.050000191,8.149999619,93.19929504,0
28,0.2778,2.049999237,2.109999657,95.31186676,62,0.32006073,8.899999619,9,95.4076004,10
29,0.2778,1.93999958,2,97.38941193,2,0.33149147,9.75,9.850000381,96.76324463,3
30,0.2778,1.829999924,1.890000343,99.10457611,121,0.342922211,10.64999962,10.75,98.98571014,10
31,0.2778,1.739999771,1.809999466,101.122261,0,0.354352951,11.55000019,11.64999962,100.8901672,0
